"physeq","agg_level","filtTax","filtTaxPar","filtSamp","filtSampPar","samples","ASVs","samples_agglo","ASVs_agglo","samples_filtered","ASVs_filtered"
"agp","Class","numbSamp",5,"totalReads",0,1191,17056,1191,74,1191,37
"agp","Class","numbSamp",5,"totalReads",500,1191,17056,1191,74,1191,37
"agp","Class","numbSamp",5,"totalReads",1000,1191,17056,1191,74,1184,37
"agp","Class","numbSamp",10,"totalReads",0,1191,17056,1191,74,1191,26
"agp","Class","numbSamp",10,"totalReads",500,1191,17056,1191,74,1191,26
"agp","Class","numbSamp",10,"totalReads",1000,1191,17056,1191,74,1184,26
"agp","Phylum","numbSamp",5,"totalReads",0,1191,17056,1191,32,1191,21
"agp","Phylum","numbSamp",5,"totalReads",500,1191,17056,1191,32,1191,21
"agp","Phylum","numbSamp",5,"totalReads",1000,1191,17056,1191,32,1184,21
"agp","Phylum","numbSamp",10,"totalReads",0,1191,17056,1191,32,1191,18
"agp","Phylum","numbSamp",10,"totalReads",500,1191,17056,1191,32,1191,18
"agp","Phylum","numbSamp",10,"totalReads",1000,1191,17056,1191,32,1184,18
"agp","Order","numbSamp",5,"totalReads",0,1191,17056,1191,168,1191,85
"agp","Order","numbSamp",5,"totalReads",500,1191,17056,1191,168,1191,85
"agp","Order","numbSamp",5,"totalReads",1000,1191,17056,1191,168,1184,85
"agp","Order","numbSamp",10,"totalReads",0,1191,17056,1191,168,1191,67
"agp","Order","numbSamp",10,"totalReads",500,1191,17056,1191,168,1191,67
"agp","Order","numbSamp",10,"totalReads",1000,1191,17056,1191,168,1184,67
"agp","Family","numbSamp",5,"totalReads",0,1191,17056,1191,312,1191,159
"agp","Family","numbSamp",5,"totalReads",500,1191,17056,1191,312,1191,159
"agp","Family","numbSamp",5,"totalReads",1000,1191,17056,1191,312,1184,159
"agp","Family","numbSamp",10,"totalReads",0,1191,17056,1191,312,1191,128
"agp","Family","numbSamp",10,"totalReads",500,1191,17056,1191,312,1191,128
"agp","Family","numbSamp",10,"totalReads",1000,1191,17056,1191,312,1184,128
"agp","Genus","numbSamp",5,"totalReads",0,1191,17056,1191,883,1191,461
"agp","Genus","numbSamp",5,"totalReads",500,1191,17056,1191,883,1191,461
"agp","Genus","numbSamp",5,"totalReads",1000,1191,17056,1191,883,1184,460
"agp","Genus","numbSamp",10,"totalReads",0,1191,17056,1191,883,1191,361
"agp","Genus","numbSamp",10,"totalReads",500,1191,17056,1191,883,1191,361
"agp","Genus","numbSamp",10,"totalReads",1000,1191,17056,1191,883,1184,361
"fukui","Class","numbSamp",5,"totalReads",0,110,6797,110,19,110,18
"fukui","Class","numbSamp",5,"totalReads",500,110,6797,110,19,110,18
"fukui","Class","numbSamp",5,"totalReads",1000,110,6797,110,19,110,18
"fukui","Class","numbSamp",10,"totalReads",0,110,6797,110,19,110,11
"fukui","Class","numbSamp",10,"totalReads",500,110,6797,110,19,110,11
"fukui","Class","numbSamp",10,"totalReads",1000,110,6797,110,19,110,11
"fukui","Phylum","numbSamp",5,"totalReads",0,110,6797,110,12,110,11
"fukui","Phylum","numbSamp",5,"totalReads",500,110,6797,110,12,110,11
"fukui","Phylum","numbSamp",5,"totalReads",1000,110,6797,110,12,110,11
"fukui","Phylum","numbSamp",10,"totalReads",0,110,6797,110,12,110,7
"fukui","Phylum","numbSamp",10,"totalReads",500,110,6797,110,12,110,7
"fukui","Phylum","numbSamp",10,"totalReads",1000,110,6797,110,12,110,7
"fukui","Order","numbSamp",5,"totalReads",0,110,6797,110,48,110,38
"fukui","Order","numbSamp",5,"totalReads",500,110,6797,110,48,110,38
"fukui","Order","numbSamp",5,"totalReads",1000,110,6797,110,48,110,38
"fukui","Order","numbSamp",10,"totalReads",0,110,6797,110,48,110,30
"fukui","Order","numbSamp",10,"totalReads",500,110,6797,110,48,110,30
"fukui","Order","numbSamp",10,"totalReads",1000,110,6797,110,48,110,30
"fukui","Family","numbSamp",5,"totalReads",0,110,6797,110,91,110,66
"fukui","Family","numbSamp",5,"totalReads",500,110,6797,110,91,110,66
"fukui","Family","numbSamp",5,"totalReads",1000,110,6797,110,91,110,66
"fukui","Family","numbSamp",10,"totalReads",0,110,6797,110,91,110,54
"fukui","Family","numbSamp",10,"totalReads",500,110,6797,110,91,110,54
"fukui","Family","numbSamp",10,"totalReads",1000,110,6797,110,91,110,54
"fukui","Genus","numbSamp",5,"totalReads",0,110,6797,110,283,110,180
"fukui","Genus","numbSamp",5,"totalReads",500,110,6797,110,283,110,180
"fukui","Genus","numbSamp",5,"totalReads",1000,110,6797,110,283,110,180
"fukui","Genus","numbSamp",10,"totalReads",0,110,6797,110,283,110,145
"fukui","Genus","numbSamp",10,"totalReads",500,110,6797,110,283,110,145
"fukui","Genus","numbSamp",10,"totalReads",1000,110,6797,110,283,110,145
"hugerth","Class","numbSamp",5,"totalReads",0,525,5886,525,30,525,19
"hugerth","Class","numbSamp",5,"totalReads",500,525,5886,525,30,525,19
"hugerth","Class","numbSamp",5,"totalReads",1000,525,5886,525,30,515,19
"hugerth","Class","numbSamp",10,"totalReads",0,525,5886,525,30,525,18
"hugerth","Class","numbSamp",10,"totalReads",500,525,5886,525,30,525,18
"hugerth","Class","numbSamp",10,"totalReads",1000,525,5886,525,30,515,18
"hugerth","Phylum","numbSamp",5,"totalReads",0,525,5886,525,18,525,12
"hugerth","Phylum","numbSamp",5,"totalReads",500,525,5886,525,18,525,12
"hugerth","Phylum","numbSamp",5,"totalReads",1000,525,5886,525,18,515,12
"hugerth","Phylum","numbSamp",10,"totalReads",0,525,5886,525,18,525,12
"hugerth","Phylum","numbSamp",10,"totalReads",500,525,5886,525,18,525,12
"hugerth","Phylum","numbSamp",10,"totalReads",1000,525,5886,525,18,515,12
"hugerth","Order","numbSamp",5,"totalReads",0,525,5886,525,70,525,47
"hugerth","Order","numbSamp",5,"totalReads",500,525,5886,525,70,525,47
"hugerth","Order","numbSamp",5,"totalReads",1000,525,5886,525,70,515,47
"hugerth","Order","numbSamp",10,"totalReads",0,525,5886,525,70,525,44
"hugerth","Order","numbSamp",10,"totalReads",500,525,5886,525,70,525,44
"hugerth","Order","numbSamp",10,"totalReads",1000,525,5886,525,70,515,44
"hugerth","Family","numbSamp",5,"totalReads",0,525,5886,525,128,525,88
"hugerth","Family","numbSamp",5,"totalReads",500,525,5886,525,128,525,88
"hugerth","Family","numbSamp",5,"totalReads",1000,525,5886,525,128,515,88
"hugerth","Family","numbSamp",10,"totalReads",0,525,5886,525,128,525,79
"hugerth","Family","numbSamp",10,"totalReads",500,525,5886,525,128,525,79
"hugerth","Family","numbSamp",10,"totalReads",1000,525,5886,525,128,515,79
"hugerth","Genus","numbSamp",5,"totalReads",0,525,5886,525,353,525,234
"hugerth","Genus","numbSamp",5,"totalReads",500,525,5886,525,353,525,234
"hugerth","Genus","numbSamp",5,"totalReads",1000,525,5886,525,353,515,234
"hugerth","Genus","numbSamp",10,"totalReads",0,525,5886,525,353,525,204
"hugerth","Genus","numbSamp",10,"totalReads",500,525,5886,525,353,525,204
"hugerth","Genus","numbSamp",10,"totalReads",1000,525,5886,525,353,515,204
"labus","Class","numbSamp",5,"totalReads",0,52,708,52,10,52,6
"labus","Class","numbSamp",5,"totalReads",500,52,708,52,10,52,6
"labus","Class","numbSamp",5,"totalReads",1000,52,708,52,10,47,6
"labus","Class","numbSamp",10,"totalReads",0,52,708,52,10,52,6
"labus","Class","numbSamp",10,"totalReads",500,52,708,52,10,52,6
"labus","Class","numbSamp",10,"totalReads",1000,52,708,52,10,47,6
"labus","Phylum","numbSamp",5,"totalReads",0,52,708,52,6,52,4
"labus","Phylum","numbSamp",5,"totalReads",500,52,708,52,6,52,4
"labus","Phylum","numbSamp",5,"totalReads",1000,52,708,52,6,47,4
"labus","Phylum","numbSamp",10,"totalReads",0,52,708,52,6,52,4
"labus","Phylum","numbSamp",10,"totalReads",500,52,708,52,6,52,4
"labus","Phylum","numbSamp",10,"totalReads",1000,52,708,52,6,47,4
"labus","Order","numbSamp",5,"totalReads",0,52,708,52,22,52,15
"labus","Order","numbSamp",5,"totalReads",500,52,708,52,22,52,15
"labus","Order","numbSamp",5,"totalReads",1000,52,708,52,22,47,14
"labus","Order","numbSamp",10,"totalReads",0,52,708,52,22,52,12
"labus","Order","numbSamp",10,"totalReads",500,52,708,52,22,52,12
"labus","Order","numbSamp",10,"totalReads",1000,52,708,52,22,47,12
"labus","Family","numbSamp",5,"totalReads",0,52,708,52,46,52,24
"labus","Family","numbSamp",5,"totalReads",500,52,708,52,46,52,24
"labus","Family","numbSamp",5,"totalReads",1000,52,708,52,46,47,24
"labus","Family","numbSamp",10,"totalReads",0,52,708,52,46,52,20
"labus","Family","numbSamp",10,"totalReads",500,52,708,52,46,52,20
"labus","Family","numbSamp",10,"totalReads",1000,52,708,52,46,47,19
"labus","Genus","numbSamp",5,"totalReads",0,52,708,52,132,52,43
"labus","Genus","numbSamp",5,"totalReads",500,52,708,52,132,52,43
"labus","Genus","numbSamp",5,"totalReads",1000,52,708,52,132,47,43
"labus","Genus","numbSamp",10,"totalReads",0,52,708,52,132,52,27
"labus","Genus","numbSamp",10,"totalReads",500,52,708,52,132,52,27
"labus","Genus","numbSamp",10,"totalReads",1000,52,708,52,132,47,27
"liu","Class","numbSamp",5,"totalReads",0,128,5564,128,113,128,45
"liu","Class","numbSamp",5,"totalReads",500,128,5564,128,113,128,45
"liu","Class","numbSamp",5,"totalReads",1000,128,5564,128,113,128,45
"liu","Class","numbSamp",10,"totalReads",0,128,5564,128,113,128,19
"liu","Class","numbSamp",10,"totalReads",500,128,5564,128,113,128,19
"liu","Class","numbSamp",10,"totalReads",1000,128,5564,128,113,128,19
"liu","Phylum","numbSamp",5,"totalReads",0,128,5564,128,44,128,23
"liu","Phylum","numbSamp",5,"totalReads",500,128,5564,128,44,128,23
"liu","Phylum","numbSamp",5,"totalReads",1000,128,5564,128,44,128,23
"liu","Phylum","numbSamp",10,"totalReads",0,128,5564,128,44,128,15
"liu","Phylum","numbSamp",10,"totalReads",500,128,5564,128,44,128,15
"liu","Phylum","numbSamp",10,"totalReads",1000,128,5564,128,44,128,15
"liu","Order","numbSamp",5,"totalReads",0,128,5564,128,259,128,98
"liu","Order","numbSamp",5,"totalReads",500,128,5564,128,259,128,98
"liu","Order","numbSamp",5,"totalReads",1000,128,5564,128,259,128,98
"liu","Order","numbSamp",10,"totalReads",0,128,5564,128,259,128,50
"liu","Order","numbSamp",10,"totalReads",500,128,5564,128,259,128,50
"liu","Order","numbSamp",10,"totalReads",1000,128,5564,128,259,128,50
"liu","Family","numbSamp",5,"totalReads",0,128,5564,128,457,128,170
"liu","Family","numbSamp",5,"totalReads",500,128,5564,128,457,128,170
"liu","Family","numbSamp",5,"totalReads",1000,128,5564,128,457,128,170
"liu","Family","numbSamp",10,"totalReads",0,128,5564,128,457,128,80
"liu","Family","numbSamp",10,"totalReads",500,128,5564,128,457,128,80
"liu","Family","numbSamp",10,"totalReads",1000,128,5564,128,457,128,80
"liu","Genus","numbSamp",5,"totalReads",0,128,5564,128,1026,128,336
"liu","Genus","numbSamp",5,"totalReads",500,128,5564,128,1026,128,336
"liu","Genus","numbSamp",5,"totalReads",1000,128,5564,128,1026,128,336
"liu","Genus","numbSamp",10,"totalReads",0,128,5564,128,1026,128,194
"liu","Genus","numbSamp",10,"totalReads",500,128,5564,128,1026,128,194
"liu","Genus","numbSamp",10,"totalReads",1000,128,5564,128,1026,128,194
"lopresti","Class","numbSamp",5,"totalReads",0,57,806,57,11,57,5
"lopresti","Class","numbSamp",5,"totalReads",500,57,806,57,11,57,5
"lopresti","Class","numbSamp",5,"totalReads",1000,57,806,57,11,24,5
"lopresti","Class","numbSamp",10,"totalReads",0,57,806,57,11,57,5
"lopresti","Class","numbSamp",10,"totalReads",500,57,806,57,11,57,5
"lopresti","Class","numbSamp",10,"totalReads",1000,57,806,57,11,24,5
"lopresti","Phylum","numbSamp",5,"totalReads",0,57,806,57,8,57,3
"lopresti","Phylum","numbSamp",5,"totalReads",500,57,806,57,8,57,3
"lopresti","Phylum","numbSamp",5,"totalReads",1000,57,806,57,8,24,3
"lopresti","Phylum","numbSamp",10,"totalReads",0,57,806,57,8,57,3
"lopresti","Phylum","numbSamp",10,"totalReads",500,57,806,57,8,57,3
"lopresti","Phylum","numbSamp",10,"totalReads",1000,57,806,57,8,24,3
"lopresti","Order","numbSamp",5,"totalReads",0,57,806,57,27,57,14
"lopresti","Order","numbSamp",5,"totalReads",500,57,806,57,27,57,14
"lopresti","Order","numbSamp",5,"totalReads",1000,57,806,57,27,24,11
"lopresti","Order","numbSamp",10,"totalReads",0,57,806,57,27,57,11
"lopresti","Order","numbSamp",10,"totalReads",500,57,806,57,27,57,11
"lopresti","Order","numbSamp",10,"totalReads",1000,57,806,57,27,24,8
"lopresti","Family","numbSamp",5,"totalReads",0,57,806,57,48,57,23
"lopresti","Family","numbSamp",5,"totalReads",500,57,806,57,48,57,23
"lopresti","Family","numbSamp",5,"totalReads",1000,57,806,57,48,24,16
"lopresti","Family","numbSamp",10,"totalReads",0,57,806,57,48,57,15
"lopresti","Family","numbSamp",10,"totalReads",500,57,806,57,48,57,15
"lopresti","Family","numbSamp",10,"totalReads",1000,57,806,57,48,24,11
"lopresti","Genus","numbSamp",5,"totalReads",0,57,806,57,115,57,36
"lopresti","Genus","numbSamp",5,"totalReads",500,57,806,57,115,57,36
"lopresti","Genus","numbSamp",5,"totalReads",1000,57,806,57,115,24,19
"lopresti","Genus","numbSamp",10,"totalReads",0,57,806,57,115,57,19
"lopresti","Genus","numbSamp",10,"totalReads",500,57,806,57,115,57,19
"lopresti","Genus","numbSamp",10,"totalReads",1000,57,806,57,115,24,10
"mars","Class","numbSamp",5,"totalReads",0,69,1524,69,30,69,15
"mars","Class","numbSamp",5,"totalReads",500,69,1524,69,30,69,15
"mars","Class","numbSamp",5,"totalReads",1000,69,1524,69,30,68,15
"mars","Class","numbSamp",10,"totalReads",0,69,1524,69,30,69,13
"mars","Class","numbSamp",10,"totalReads",500,69,1524,69,30,69,13
"mars","Class","numbSamp",10,"totalReads",1000,69,1524,69,30,68,13
"mars","Phylum","numbSamp",5,"totalReads",0,69,1524,69,17,69,10
"mars","Phylum","numbSamp",5,"totalReads",500,69,1524,69,17,69,10
"mars","Phylum","numbSamp",5,"totalReads",1000,69,1524,69,17,68,10
"mars","Phylum","numbSamp",10,"totalReads",0,69,1524,69,17,69,8
"mars","Phylum","numbSamp",10,"totalReads",500,69,1524,69,17,69,8
"mars","Phylum","numbSamp",10,"totalReads",1000,69,1524,69,17,68,8
"mars","Order","numbSamp",5,"totalReads",0,69,1524,69,68,69,42
"mars","Order","numbSamp",5,"totalReads",500,69,1524,69,68,69,42
"mars","Order","numbSamp",5,"totalReads",1000,69,1524,69,68,68,42
"mars","Order","numbSamp",10,"totalReads",0,69,1524,69,68,69,35
"mars","Order","numbSamp",10,"totalReads",500,69,1524,69,68,69,35
"mars","Order","numbSamp",10,"totalReads",1000,69,1524,69,68,68,35
"mars","Family","numbSamp",5,"totalReads",0,69,1524,69,130,69,73
"mars","Family","numbSamp",5,"totalReads",500,69,1524,69,130,69,73
"mars","Family","numbSamp",5,"totalReads",1000,69,1524,69,130,68,72
"mars","Family","numbSamp",10,"totalReads",0,69,1524,69,130,69,55
"mars","Family","numbSamp",10,"totalReads",500,69,1524,69,130,69,55
"mars","Family","numbSamp",10,"totalReads",1000,69,1524,69,130,68,55
"mars","Genus","numbSamp",5,"totalReads",0,69,1524,69,346,69,168
"mars","Genus","numbSamp",5,"totalReads",500,69,1524,69,346,69,168
"mars","Genus","numbSamp",5,"totalReads",1000,69,1524,69,346,68,167
"mars","Genus","numbSamp",10,"totalReads",0,69,1524,69,346,69,132
"mars","Genus","numbSamp",10,"totalReads",500,69,1524,69,346,69,132
"mars","Genus","numbSamp",10,"totalReads",1000,69,1524,69,346,68,132
"nagel","Class","numbSamp",5,"totalReads",0,30,1092,30,19,30,11
"nagel","Class","numbSamp",5,"totalReads",500,30,1092,30,19,30,11
"nagel","Class","numbSamp",5,"totalReads",1000,30,1092,30,19,30,11
"nagel","Class","numbSamp",10,"totalReads",0,30,1092,30,19,30,9
"nagel","Class","numbSamp",10,"totalReads",500,30,1092,30,19,30,9
"nagel","Class","numbSamp",10,"totalReads",1000,30,1092,30,19,30,9
"nagel","Phylum","numbSamp",5,"totalReads",0,30,1092,30,12,30,8
"nagel","Phylum","numbSamp",5,"totalReads",500,30,1092,30,12,30,8
"nagel","Phylum","numbSamp",5,"totalReads",1000,30,1092,30,12,30,8
"nagel","Phylum","numbSamp",10,"totalReads",0,30,1092,30,12,30,6
"nagel","Phylum","numbSamp",10,"totalReads",500,30,1092,30,12,30,6
"nagel","Phylum","numbSamp",10,"totalReads",1000,30,1092,30,12,30,6
"nagel","Order","numbSamp",5,"totalReads",0,30,1092,30,43,30,24
"nagel","Order","numbSamp",5,"totalReads",500,30,1092,30,43,30,24
"nagel","Order","numbSamp",5,"totalReads",1000,30,1092,30,43,30,24
"nagel","Order","numbSamp",10,"totalReads",0,30,1092,30,43,30,21
"nagel","Order","numbSamp",10,"totalReads",500,30,1092,30,43,30,21
"nagel","Order","numbSamp",10,"totalReads",1000,30,1092,30,43,30,21
"nagel","Family","numbSamp",5,"totalReads",0,30,1092,30,78,30,43
"nagel","Family","numbSamp",5,"totalReads",500,30,1092,30,78,30,43
"nagel","Family","numbSamp",5,"totalReads",1000,30,1092,30,78,30,43
"nagel","Family","numbSamp",10,"totalReads",0,30,1092,30,78,30,34
"nagel","Family","numbSamp",10,"totalReads",500,30,1092,30,78,30,34
"nagel","Family","numbSamp",10,"totalReads",1000,30,1092,30,78,30,34
"nagel","Genus","numbSamp",5,"totalReads",0,30,1092,30,226,30,118
"nagel","Genus","numbSamp",5,"totalReads",500,30,1092,30,226,30,118
"nagel","Genus","numbSamp",5,"totalReads",1000,30,1092,30,226,30,118
"nagel","Genus","numbSamp",10,"totalReads",0,30,1092,30,226,30,76
"nagel","Genus","numbSamp",10,"totalReads",500,30,1092,30,226,30,76
"nagel","Genus","numbSamp",10,"totalReads",1000,30,1092,30,226,30,76
"pozuelo","Class","numbSamp",5,"totalReads",0,273,23151,273,29,273,23
"pozuelo","Class","numbSamp",5,"totalReads",500,273,23151,273,29,273,23
"pozuelo","Class","numbSamp",5,"totalReads",1000,273,23151,273,29,273,23
"pozuelo","Class","numbSamp",10,"totalReads",0,273,23151,273,29,273,21
"pozuelo","Class","numbSamp",10,"totalReads",500,273,23151,273,29,273,21
"pozuelo","Class","numbSamp",10,"totalReads",1000,273,23151,273,29,273,21
"pozuelo","Phylum","numbSamp",5,"totalReads",0,273,23151,273,15,273,13
"pozuelo","Phylum","numbSamp",5,"totalReads",500,273,23151,273,15,273,13
"pozuelo","Phylum","numbSamp",5,"totalReads",1000,273,23151,273,15,273,13
"pozuelo","Phylum","numbSamp",10,"totalReads",0,273,23151,273,15,273,12
"pozuelo","Phylum","numbSamp",10,"totalReads",500,273,23151,273,15,273,12
"pozuelo","Phylum","numbSamp",10,"totalReads",1000,273,23151,273,15,273,12
"pozuelo","Order","numbSamp",5,"totalReads",0,273,23151,273,72,273,53
"pozuelo","Order","numbSamp",5,"totalReads",500,273,23151,273,72,273,53
"pozuelo","Order","numbSamp",5,"totalReads",1000,273,23151,273,72,273,53
"pozuelo","Order","numbSamp",10,"totalReads",0,273,23151,273,72,273,47
"pozuelo","Order","numbSamp",10,"totalReads",500,273,23151,273,72,273,47
"pozuelo","Order","numbSamp",10,"totalReads",1000,273,23151,273,72,273,47
"pozuelo","Family","numbSamp",5,"totalReads",0,273,23151,273,144,273,102
"pozuelo","Family","numbSamp",5,"totalReads",500,273,23151,273,144,273,102
"pozuelo","Family","numbSamp",5,"totalReads",1000,273,23151,273,144,273,102
"pozuelo","Family","numbSamp",10,"totalReads",0,273,23151,273,144,273,91
"pozuelo","Family","numbSamp",10,"totalReads",500,273,23151,273,144,273,91
"pozuelo","Family","numbSamp",10,"totalReads",1000,273,23151,273,144,273,91
"pozuelo","Genus","numbSamp",5,"totalReads",0,273,23151,273,445,273,301
"pozuelo","Genus","numbSamp",5,"totalReads",500,273,23151,273,445,273,301
"pozuelo","Genus","numbSamp",5,"totalReads",1000,273,23151,273,445,273,301
"pozuelo","Genus","numbSamp",10,"totalReads",0,273,23151,273,445,273,263
"pozuelo","Genus","numbSamp",10,"totalReads",500,273,23151,273,445,273,263
"pozuelo","Genus","numbSamp",10,"totalReads",1000,273,23151,273,445,273,263
"zeber","Class","numbSamp",5,"totalReads",0,90,14615,90,21,90,18
"zeber","Class","numbSamp",5,"totalReads",500,90,14615,90,21,90,18
"zeber","Class","numbSamp",5,"totalReads",1000,90,14615,90,21,90,18
"zeber","Class","numbSamp",10,"totalReads",0,90,14615,90,21,90,15
"zeber","Class","numbSamp",10,"totalReads",500,90,14615,90,21,90,15
"zeber","Class","numbSamp",10,"totalReads",1000,90,14615,90,21,90,15
"zeber","Phylum","numbSamp",5,"totalReads",0,90,14615,90,11,90,10
"zeber","Phylum","numbSamp",5,"totalReads",500,90,14615,90,11,90,10
"zeber","Phylum","numbSamp",5,"totalReads",1000,90,14615,90,11,90,10
"zeber","Phylum","numbSamp",10,"totalReads",0,90,14615,90,11,90,8
"zeber","Phylum","numbSamp",10,"totalReads",500,90,14615,90,11,90,8
"zeber","Phylum","numbSamp",10,"totalReads",1000,90,14615,90,11,90,8
"zeber","Order","numbSamp",5,"totalReads",0,90,14615,90,54,90,36
"zeber","Order","numbSamp",5,"totalReads",500,90,14615,90,54,90,36
"zeber","Order","numbSamp",5,"totalReads",1000,90,14615,90,54,90,36
"zeber","Order","numbSamp",10,"totalReads",0,90,14615,90,54,90,32
"zeber","Order","numbSamp",10,"totalReads",500,90,14615,90,54,90,32
"zeber","Order","numbSamp",10,"totalReads",1000,90,14615,90,54,90,32
"zeber","Family","numbSamp",5,"totalReads",0,90,14615,90,108,90,67
"zeber","Family","numbSamp",5,"totalReads",500,90,14615,90,108,90,67
"zeber","Family","numbSamp",5,"totalReads",1000,90,14615,90,108,90,67
"zeber","Family","numbSamp",10,"totalReads",0,90,14615,90,108,90,57
"zeber","Family","numbSamp",10,"totalReads",500,90,14615,90,108,90,57
"zeber","Family","numbSamp",10,"totalReads",1000,90,14615,90,108,90,57
"zeber","Genus","numbSamp",5,"totalReads",0,90,14615,90,330,90,192
"zeber","Genus","numbSamp",5,"totalReads",500,90,14615,90,330,90,192
"zeber","Genus","numbSamp",5,"totalReads",1000,90,14615,90,330,90,192
"zeber","Genus","numbSamp",10,"totalReads",0,90,14615,90,330,90,152
"zeber","Genus","numbSamp",10,"totalReads",500,90,14615,90,330,90,152
"zeber","Genus","numbSamp",10,"totalReads",1000,90,14615,90,330,90,152
"zhu","Class","numbSamp",5,"totalReads",0,29,672,29,17,29,9
"zhu","Class","numbSamp",5,"totalReads",500,29,672,29,17,29,9
"zhu","Class","numbSamp",5,"totalReads",1000,29,672,29,17,29,9
"zhu","Class","numbSamp",10,"totalReads",0,29,672,29,17,29,9
"zhu","Class","numbSamp",10,"totalReads",500,29,672,29,17,29,9
"zhu","Class","numbSamp",10,"totalReads",1000,29,672,29,17,29,9
"zhu","Phylum","numbSamp",5,"totalReads",0,29,672,29,11,29,5
"zhu","Phylum","numbSamp",5,"totalReads",500,29,672,29,11,29,5
"zhu","Phylum","numbSamp",5,"totalReads",1000,29,672,29,11,29,5
"zhu","Phylum","numbSamp",10,"totalReads",0,29,672,29,11,29,5
"zhu","Phylum","numbSamp",10,"totalReads",500,29,672,29,11,29,5
"zhu","Phylum","numbSamp",10,"totalReads",1000,29,672,29,11,29,5
"zhu","Order","numbSamp",5,"totalReads",0,29,672,29,38,29,21
"zhu","Order","numbSamp",5,"totalReads",500,29,672,29,38,29,21
"zhu","Order","numbSamp",5,"totalReads",1000,29,672,29,38,29,21
"zhu","Order","numbSamp",10,"totalReads",0,29,672,29,38,29,16
"zhu","Order","numbSamp",10,"totalReads",500,29,672,29,38,29,16
"zhu","Order","numbSamp",10,"totalReads",1000,29,672,29,38,29,16
"zhu","Family","numbSamp",5,"totalReads",0,29,672,29,62,29,35
"zhu","Family","numbSamp",5,"totalReads",500,29,672,29,62,29,35
"zhu","Family","numbSamp",5,"totalReads",1000,29,672,29,62,29,35
"zhu","Family","numbSamp",10,"totalReads",0,29,672,29,62,29,26
"zhu","Family","numbSamp",10,"totalReads",500,29,672,29,62,29,26
"zhu","Family","numbSamp",10,"totalReads",1000,29,672,29,62,29,26
"zhu","Genus","numbSamp",5,"totalReads",0,29,672,29,172,29,86
"zhu","Genus","numbSamp",5,"totalReads",500,29,672,29,172,29,86
"zhu","Genus","numbSamp",5,"totalReads",1000,29,672,29,172,29,86
"zhu","Genus","numbSamp",10,"totalReads",0,29,672,29,172,29,55
"zhu","Genus","numbSamp",10,"totalReads",500,29,672,29,172,29,55
"zhu","Genus","numbSamp",10,"totalReads",1000,29,672,29,172,29,55
"zhuang","Class","numbSamp",5,"totalReads",0,30,948,30,15,30,10
"zhuang","Class","numbSamp",5,"totalReads",500,30,948,30,15,30,10
"zhuang","Class","numbSamp",5,"totalReads",1000,30,948,30,15,30,10
"zhuang","Class","numbSamp",10,"totalReads",0,30,948,30,15,30,9
"zhuang","Class","numbSamp",10,"totalReads",500,30,948,30,15,30,9
"zhuang","Class","numbSamp",10,"totalReads",1000,30,948,30,15,30,9
"zhuang","Phylum","numbSamp",5,"totalReads",0,30,948,30,9,30,7
"zhuang","Phylum","numbSamp",5,"totalReads",500,30,948,30,9,30,7
"zhuang","Phylum","numbSamp",5,"totalReads",1000,30,948,30,9,30,7
"zhuang","Phylum","numbSamp",10,"totalReads",0,30,948,30,9,30,6
"zhuang","Phylum","numbSamp",10,"totalReads",500,30,948,30,9,30,6
"zhuang","Phylum","numbSamp",10,"totalReads",1000,30,948,30,9,30,6
"zhuang","Order","numbSamp",5,"totalReads",0,30,948,30,35,30,20
"zhuang","Order","numbSamp",5,"totalReads",500,30,948,30,35,30,20
"zhuang","Order","numbSamp",5,"totalReads",1000,30,948,30,35,30,20
"zhuang","Order","numbSamp",10,"totalReads",0,30,948,30,35,30,16
"zhuang","Order","numbSamp",10,"totalReads",500,30,948,30,35,30,16
"zhuang","Order","numbSamp",10,"totalReads",1000,30,948,30,35,30,16
"zhuang","Family","numbSamp",5,"totalReads",0,30,948,30,62,30,33
"zhuang","Family","numbSamp",5,"totalReads",500,30,948,30,62,30,33
"zhuang","Family","numbSamp",5,"totalReads",1000,30,948,30,62,30,33
"zhuang","Family","numbSamp",10,"totalReads",0,30,948,30,62,30,27
"zhuang","Family","numbSamp",10,"totalReads",500,30,948,30,62,30,27
"zhuang","Family","numbSamp",10,"totalReads",1000,30,948,30,62,30,27
"zhuang","Genus","numbSamp",5,"totalReads",0,30,948,30,159,30,69
"zhuang","Genus","numbSamp",5,"totalReads",500,30,948,30,159,30,69
"zhuang","Genus","numbSamp",5,"totalReads",1000,30,948,30,159,30,69
"zhuang","Genus","numbSamp",10,"totalReads",0,30,948,30,159,30,46
"zhuang","Genus","numbSamp",10,"totalReads",500,30,948,30,159,30,46
"zhuang","Genus","numbSamp",10,"totalReads",1000,30,948,30,159,30,46
